
 item_id | time                            | item_dsc                 | value
---------+---------------------------------+--------------------------+---------
    8001 | 2020-03-20 02:33:20.000000+0000 | Barometric pressure (mb) | 1014.00
    8001 | 2020-03-20 02:28:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 02:23:20.000000+0000 | Barometric pressure (mb) | 1014.00
    8001 | 2020-03-20 02:18:20.000000+0000 | Barometric pressure (mb) | 1014.00
    8001 | 2020-03-20 02:13:20.000000+0000 | Barometric pressure (mb) | 1014.00
    8001 | 2020-03-20 02:08:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 02:03:20.000000+0000 | Barometric pressure (mb) | 1014.00
    8001 | 2020-03-20 01:58:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 01:53:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 01:48:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 01:43:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 01:38:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 01:33:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 01:28:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 01:23:21.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 01:18:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 01:13:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 01:08:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 01:03:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 00:58:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 00:53:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 00:48:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 00:43:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 00:38:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 00:33:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 00:28:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 00:23:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 00:18:20.000000+0000 | Barometric pressure (mb) | 1013.00
    8001 | 2020-03-20 00:13:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-20 00:08:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-20 00:03:22.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 23:58:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 23:53:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 23:48:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 23:43:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 23:38:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 23:33:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 23:28:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 23:23:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 23:18:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 23:13:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 23:08:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 23:03:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 22:58:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 22:53:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-19 22:48:20.000000+0000 | Barometric pressure (mb) | 1011.00
