
 item_id | time                            | item_dsc                 | value
    8001 | 2020-03-18 02:28:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-18 02:23:20.000000+0000 | Barometric pressure (mb) | 1012.00
    8001 | 2020-03-18 02:18:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 02:13:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 02:08:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 02:03:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:58:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:53:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:48:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:43:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:38:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:33:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:28:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:23:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:18:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:13:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:08:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 01:03:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 00:58:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 00:53:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 00:48:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 00:43:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 00:38:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 00:33:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 00:28:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 00:23:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 00:18:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 00:13:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-18 00:08:20.000000+0000 | Barometric pressure (mb) | 1010.00

 item_id | time                            | item_dsc                 | value
---------+---------------------------------+--------------------------+---------
    8001 | 2020-03-18 00:03:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 23:58:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 23:53:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 23:48:20.000000+0000 | Barometric pressure (mb) | 1011.00
    8001 | 2020-03-17 23:43:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 23:38:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 23:33:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 23:28:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 23:23:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 23:18:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 23:13:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 23:08:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 23:03:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 22:58:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 22:53:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 22:48:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 22:43:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 22:38:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 22:33:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 22:28:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 22:23:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 22:18:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 22:13:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 22:08:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 22:03:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 21:58:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 21:53:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 21:48:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 21:43:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 21:38:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 21:33:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 21:28:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 21:23:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 21:18:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 21:13:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 21:08:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 21:03:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 20:58:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 20:53:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 20:48:20.000000+0000 | Barometric pressure (mb) | 1009.00
    8001 | 2020-03-17 20:43:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 20:38:20.000000+0000 | Barometric pressure (mb) | 1010.00
    8001 | 2020-03-17 20:33:20.000000+0000 | Barometric pressure (mb) | 1010.00
